"reference","rename","multi"
"Daunt & Wanless IMLOT 1973-2014, Newell et al 2013 JNCC Report, No. 475g","Daunt & Wanless IMLOT 1973-2014; Newell et al 2013 JNCC Report, No. 475g","true"
"Daunt & Wanless IMLOT 1973-2014, Newell et al 2016 JNCC Report, No. 475h.","Daunt & Wanless IMLOT 1973-2014; Newell et al 2016 JNCC Report, No. 475h","true"
"Daunt & Wanless IMLOT 1973-2014, Newell et al 2016 JNCC Report, No. 475i.","Daunt & Wanless IMLOT 1973-2014; Newell et al 2016 JNCC Report, No. 475i","true"
"Daunt & Wanless IMLOT 1973-2014, Newell et al 2016 JNCC Report, No. 475j","Daunt & Wanless IMLOT 1973-2014; Newell et al 2016 JNCC Report, No. 475j","true"
"Daunt & Wanless IMLOT 1973-2014, Wilson et al 2002 JNCC Report, No. 328","Daunt & Wanless IMLOT 1973-2014; Wilson et al 2002 JNCC Report, No. 328","true"
"Daunt & Wanless IMLOT 1973-2014, Wilson et al 2003 JNCC Report, No. 338","Daunt & Wanless IMLOT 1973-2014; Wilson et al 2003 JNCC Report, No. 338","true"
"Daunt & Wanless IMLOT 1973-2014, Wilson et al 2005 JNCC Report, No. 362","Daunt & Wanless IMLOT 1973-2014; Wilson et al 2005 JNCC Report, No. 362","true"
"Evans 1975 Bird Study 22, 239-247","Evans 1975 Bird Study 22, 239-247","false"
"Fowler & Dye 1987 Seabird 10,71-74","Fowler & Dye 1987 Seabird 10,71-74","false"
"Francis Daunt","Francis Daunt","false"
"Furness & Todd 1984 Ibis 126: 379-387","Furness & Todd 1984 Ibis 126: 379-387","false"
"Furness 1990 Ibis 132,205-217","Furness 1990 Ibis 132, 205-217","false"
"Galbraith 1983 Bird Study 30, 109–120","Galbraith 1983 Bird Study 30, 109–120","false"
"Gray et al 2003 J Zool 259,109-113","Gray et al 2003 J Zool 259,109-113","false"
"Gray et al 2003 J Zool 259,109-113, Phillips et al 1999 Mar Biol 135,159-170","Gray et al 2003 J Zool 259,109-113; Phillips et al 1999 Mar Biol 135,159-170","true"
"Halley et al 1995 Seabird 17, 12-20","Halley et al 1995 Seabird 17, 12-20","false"
"Hamer et al 2007 Marine Ecology - Progress Series 338, 295-305.","Hamer et al 2007 Marine Ecology - Progress Series 338, 295-305","false"
"Hamer et al 2007 Marine Ecology - Progress Series 338, 295-305, Hamer et al 2000 MEPS 200,257-264","Hamer et al 2007 Marine Ecology - Progress Series 338, 295-305; Hamer et al 2000 MEPS 200, 257-264","true"
"Harris & Hislop 1978 J Zool 185: 213-236.","Harris & Hislop 1978 J Zool 185: 213-236.","false"
"Harris & Riddiford 1989 Scottish Birds 15,119-125","Harris & Riddiford 1989 Scottish Birds 15, 119-125","false"
"Harris & Riddisford 1989 Scott Birds 15,119","Harris & Riddiford 1989 Scottish Birds 15, 119-125","false"
"Harris & Riddiford 1989 Scottish Birds 15, 126–130","Harris & Riddiford 1989 Scottish Birds 15, 119-125","false"
"Harris & Riddiford 1989 Scottish Birds 15: 119-125","Harris & Riddiford 1989 Scottish Birds 15, 119-125","false"
"Harris & Riddisford 1989 Scottish Birds 15, 119-125","Harris & Riddiford 1989 Scottish Birds 15, 119-125","false"
"Harris & Riddisford 1989 Scottish Birds 15:119-125","Harris & Riddiford 1989 Scottish Birds 15, 119-125","false"
"in Harris & Wanless 1985 J Zool 207, 441-458","Harris & Wanless 1985 J Zool 207, 441-458","false"
"Harris & Wanless 1985 J Zool 207, 441-458","Harris & Wanless 1985 J Zool 207, 441-458","false"
"Harris & Wanless 1986 Ornis Scand 17, 41-46","Harris & Wanless 1986 Ornis Scand 17, 41-46","false"
"Harris & Wanless 1990 Journal of Applied Ecology 27,172–187","Harris & Wanless 1990 Journal of Applied Ecology 27,172–187","false"
"Harris & Wanless 1990 Journal of Applied Ecology 27,172–187, Swann et al 2008 Seabird 21, 44–54","Harris & Wanless 1990 Journal of Applied Ecology 27,172–187; Swann et al 2008 Seabird 21, 44-54","false"
"Harris & Wanless 1991 Ornis Scandinavica 22,375-382","Harris & Wanless 1991 Ornis Scandinavica 22,375-382","false"
"Harris & Wanless 1993 Bird Study 40,135-139","Harris & Wanless 1993 Bird Study 40,135-139","false"
"Harris 1970 Ibis 112, 540-541","Harris 1970 Ibis 112, 540-541","false"
"Harvey et al 1990 Fair Isle Bird Observatory Report 42, 47-54","Harvey et al 1990 Fair Isle Bird Observatory Report 42, 47-54","false"
"Hatchwell 1991 Ibis 133, 153-161","Hatchwell 1991 Ibis 133, 153-161","false"
"Heubeck 2009 Seabird 22, 9-18","Heubeck 2009 Seabird 22, 9-18","false"
"Howells et al 2017 MEPS 583,227-242","Howells et al 2017 MEPS 583, 227-242","false"
"Lewis et al 2001 Marine Ecology Progress Series 221, 277–284","Lewis et al 2001 Marine Ecology Progress Series 221, 277–284","false"
"Lewis et al 2003 Ardea 91, 167-176","Lewis et al 2003 Ardea 91, 167-176","false"
"Lumsden & Haddow 1946 Journal of Animal Ecology 15,35-42","Lumsden & Haddow 1946 Journal of Animal Ecology 15,35-42","false"
"Martin 1989 Bird Study 36: 170-187","Martin 1989 Bird Study 36:3, 170-180","false"
"Martin 1989 Bird Study 36:3, 170-180","Martin 1989 Bird Study 36:3, 170-180","false"
"Miles et al 2015 PLoSONE 10: e0131527","Miles et al 2015 PLoSONE 10: e0131527","false"
"Mills 1969 Scottish Birds 5,264-268","Mills 1969 Scottish Birds 5,264-268","false"
"Newell et al 2016 JNCC Report, No. 475k","Newell et al 2016 JNCC Report, No. 475k","false"
"Ojowski et al 2001 Mar Biol 139,1193-2000","Ojowski et al 2001 Mar Biol 139,1193-2000","false"
"Pearson 1698 Journal of Animal Ecology 37,521-552","Pearson 1968 J Anim Ecol 37, 521-552","false"
"Pearson 1968 J Anim Ecol 37, 521-552","Pearson 1968 J Anim Ecol 37, 521-552","false"
"Pearson 1968 J Anim Ecol 37: 521-552","Pearson 1968 J Anim Ecol 37, 521-552","false"
"Pearson 1968 Journal of Animal Ecology 37, 521–552.","Pearson 1968 J Anim Ecol 37, 521-552","false"
"Riordan & Birkhead 2017 Ibis","Riordan & Birkhead 2017 Ibis","false"
"Robertson et al 2014 Marine Biology, 161, 1973–1986","Robertson et al 2014 Marine Biology, 161, 1973–1986","false"
"Shaw et al 2002 JNCC Report, No. 332","Shaw et al 2002 JNCC Report, No. 332","false"
"Snow 1960 Ibis 102,554.575","Snow 1960 Ibis 102, 554-575","false"
"Stauss et al 2012 Marine Ecology - Progress Series 457, 151-162","Stauss et al 2012 Marine Ecology - Progress Series 457, 151-162","false"
"Stauss et al 2012 Marine Ecology - Progress Series 457, 151-163","Stauss et al 2012 Marine Ecology - Progress Series 457, 151-162","false"
"Stauss et al 2012 Marine Ecology - Progress Series 457, 151-164","Stauss et al 2012 Marine Ecology - Progress Series 457, 151-162","false"
"Stauss et al 2012 Marine Ecology - Progress Series 457, 151-165","Stauss et al 2012 Marine Ecology - Progress Series 457, 151-162","false"
"Stauss et al 2012 Marine Ecology - Progress Series 457, 151-166","Stauss et al 2012 Marine Ecology - Progress Series 457, 151-162","false"
"Stauss et al 2012 Marine Ecology - Progress Series 457, 151-167","Stauss et al 2012 Marine Ecology - Progress Series 457, 151-162","false"
"Stevens 1933 J Mar Biol Assoc UK 19,277-292","Stevens 1933 J Mar Biol Assoc UK 19,277-292","false"
"Swann 1998 JNCC Report, No. 286.","Swann 1998 JNCC Report, No. 286.","false"
"Swann 2004 http://jncc.defra.gov.uk/pdf/474a_Canna_2004_web.pdf","Swann 2004 JNCC Report, No. 474a","false"
"Swann 2013  JNCC Report, No. 474g","Swann 2013  JNCC Report, No. 474g","false"
"Swann 2013  JNCC Report, No. 474h","Swann 2013  JNCC Report, No. 474h","false"
"Swann 2013 JNCC Report, No. 474e","Swann 2013 JNCC Report, No. 474e","false"
"Swann 2013 JNCC Report, No. 474f","Swann 2013 JNCC Report, No. 474f","false"
"Swann et al 2008 Seabird 21, 44-54","Swann et al 2008 Seabird 21, 44-54","false"
"Swann et al 2008 Seabird 21, 44–54","Swann et al 2008 Seabird 21, 44-54","false"
"Swann et al 2008 Seabirds 21,44-54","Swann et al 2008 Seabird 21, 44-54","false"
"Swann et al 2008 Seabird 21, 44–54, Swann 2000 JNCC Report, No. 304","Swann et al 2008 Seabird 21, 44-54; Swann 2000 JNCC Report, No. 304","false"
"Swann et al 2008 Seabird 21, 44–54, Swann 2004 JNCC Report, No.361","Swann et al 2008 Seabird 21, 44-54; Swann 2004 JNCC Report, No. 361","false"
"Swann et al 2008 Seabird 21, 44–54, Swann 2013 JNCC Report, No. 474d","Swann et al 2008 Seabird 21, 44-54; Swann 2013 JNCC Report, No. 474d","false"
