Common name,Species,Year,Startyear,Endyear,Location,Latitude,Longitude,Breeding status,Age Group,Prey.type,Prey.species,FoO,Num Freq,Freq Biomass,Prey size,SD,Sample.size,Sample.type,Source,Reference,Notes
Atlantic puffin,Fratercula arctica,1985,1985,1985,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 1+ group,,0.47,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1985,1985,1985,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,Ammodytidae,0.89,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1985,1985,1985,Isle of May,56.19,-2.56,Breeding,Adult,Clupeidae,Clupeidae,0.11,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1985,1985,1985,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1986,1986,1986,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.13,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1986,1986,1986,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 1+ group,,0.7,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1986,1986,1986,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,Ammodytidae,0.83,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1986,1986,1986,Isle of May,56.19,-2.56,Breeding,Adult,Clupeidae,Clupeidae,0.11,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1986,1986,1986,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0.06,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1987,1987,1987,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.13,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1987,1987,1987,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 1+ group,,0.66,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1987,1987,1987,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,Ammodytidae,0.79,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1987,1987,1987,Isle of May,56.19,-2.56,Breeding,Adult,Clupeidae,Clupeidae,0.21,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1987,1987,1987,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1988,1988,1988,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.6,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1988,1988,1988,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 1+ group,,0.26,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1988,1988,1988,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,Ammodytidae,0.86,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1988,1988,1988,Isle of May,56.19,-2.56,Breeding,Adult,Clupeidae,Clupeidae,0.13,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1988,1988,1988,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0.01,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1989,1989,1989,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.88,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1989,1989,1989,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 1+ group,,0.01,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1989,1989,1989,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,Ammodytidae,0.89,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1989,1989,1989,Isle of May,56.19,-2.56,Breeding,Adult,Clupeidae,Clupeidae,0.1,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1989,1989,1989,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0.01,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1990,1990,1990,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.81,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1990,1990,1990,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 1+ group,,0.11,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1990,1990,1990,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,Ammodytidae,0.92,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1990,1990,1990,Isle of May,56.19,-2.56,Breeding,Adult,Clupeidae,Clupeidae,0.04,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1990,1990,1990,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0.04,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1991,1991,1991,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.55,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1991,1991,1991,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 1+ group,,0.34,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1991,1991,1991,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,Ammodytidae,0.89,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1991,1991,1991,Isle of May,56.19,-2.56,Breeding,Adult,Clupeidae,Clupeidae,0.04,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1991,1991,1991,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0.07,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1992,1992,1992,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.5,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1992,1992,1992,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 1+ group,,0.36,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1992,1992,1992,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,Ammodytidae,0.86,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1992,1992,1992,Isle of May,56.19,-2.56,Breeding,Adult,Clupeidae,Clupeidae,0.01,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1992,1992,1992,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0.13,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1993,1993,1993,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.23,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1993,1993,1993,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 1+ group,,0.16,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1993,1993,1993,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,Ammodytidae,0.39,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1993,1993,1993,Isle of May,56.19,-2.56,Breeding,Adult,Clupeidae,Clupeidae,0.61,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1993,1993,1993,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1994,1994,1994,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.42,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1994,1994,1994,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 1+ group,,0.14,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1994,1994,1994,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,Ammodytidae,0.56,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1994,1994,1994,Isle of May,56.19,-2.56,Breeding,Adult,Clupeidae,Clupeidae,0.43,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1994,1994,1994,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0.01,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1995,1995,1995,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.25,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1995,1995,1995,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 1+ group,,0.31,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
