id,year,startyear,endyear,location,latitude,longitude,pred_common_name,pred_species,pred_breeding_status,pred_age_group,pred_aphia_id,pred_valid_name,pred_valid_aphia_id,prey_orig_descr,prey_taxon,prey_size,prey_sd,prey_age_group,prey_aphia_id,prey_valid_name,prey_valid_aphia_id,freq_occ,freq_num,freq_biomass,sample_size,sample_type,ref_n,ref_ids,source,notes
39,1978,1978,1978,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,others,Others,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,vis obs,1,REF016,report,NA
39,1978,1978,1978,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,others,Others,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,vis obs,1,REF016,report,NA
40,1979,1979,1979,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.27,NA,NA,NA,vis obs,1,REF016,report,NA
40,1979,1979,1979,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.27,NA,NA,NA,vis obs,1,REF016,report,NA
41,1979,1979,1979,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 1+ group,Ammodytidae,NA,NA,+1,125516,Ammodytidae,125516,0.43,NA,NA,NA,vis obs,1,REF016,report,NA
41,1979,1979,1979,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 1+ group,Ammodytidae,NA,NA,+1,125516,Ammodytidae,125516,0.43,NA,NA,NA,vis obs,1,REF016,report,NA
42,1979,1979,1979,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.7,NA,NA,NA,vis obs,1,REF016,report,NA
42,1979,1979,1979,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.7,NA,NA,NA,vis obs,1,REF016,report,NA
43,1979,1979,1979,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.27,NA,NA,NA,vis obs,1,REF016,report,NA
43,1979,1979,1979,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.27,NA,NA,NA,vis obs,1,REF016,report,NA
44,1979,1979,1979,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,others,Others,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,vis obs,1,REF016,report,NA
44,1979,1979,1979,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,others,Others,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,vis obs,1,REF016,report,NA
45,1980,1980,1980,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.56,NA,NA,NA,vis obs,1,REF016,report,NA
45,1980,1980,1980,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.56,NA,NA,NA,vis obs,1,REF016,report,NA
46,1980,1980,1980,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 1+ group,Ammodytidae,NA,NA,+1,125516,Ammodytidae,125516,0.26,NA,NA,NA,vis obs,1,REF016,report,NA
46,1980,1980,1980,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 1+ group,Ammodytidae,NA,NA,+1,125516,Ammodytidae,125516,0.26,NA,NA,NA,vis obs,1,REF016,report,NA
47,1980,1980,1980,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.82,NA,NA,NA,vis obs,1,REF016,report,NA
47,1980,1980,1980,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.82,NA,NA,NA,vis obs,1,REF016,report,NA
48,1980,1980,1980,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.17,NA,NA,NA,vis obs,1,REF016,report,NA
48,1980,1980,1980,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.17,NA,NA,NA,vis obs,1,REF016,report,NA
49,1980,1980,1980,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,others,Others,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,vis obs,1,REF016,report,NA
49,1980,1980,1980,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,others,Others,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,vis obs,1,REF016,report,NA
50,1981,1981,1981,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.48,NA,NA,NA,vis obs,1,REF016,report,NA
