phylum,class,order,family,genus,species,base_name,base_rank,aphiaID,valid_name,valid_aphiaID
Mollusca,Gastropoda,Littorinimorpha,Patellidae,Patella,NA,Patella,genus,138312,Patella,138312
Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,Mytilus edulis,Mytilus edulis,species,140480,Mytilus edulis,140480
Mollusca,Bivalvia,Cardiida,Cardiidae,Cerastoderma,Cerastoderma edule,Cerastoderma edule,species,138998,Cerastoderma edule,138998
Mollusca,Bivalvia,Cardiida,Tellinidae,Macomangulus,Macomangulus tenuis,Macomangulus tenuis,species,878470,Macomangulus tenuis,878470
Mollusca,Bivalvia,Adapedonta,Pharidae,NA,NA,Pharidae,family,23091,Pharidae,23091
Mollusca,Bivalvia,Venerida,Veneridae,Paphia,NA,Paphia,genus,516180,Atactodea,138173
Mollusca,Bivalvia,NA,NA,NA,NA,Bivalvia,class,105,Bivalvia,105
Mollusca,NA,NA,NA,NA,NA,Mollusca,phylum,51,Mollusca,51
Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,Nereis irrorata,Nereis irrorata,species,196797,Neanthes nubila,334102
Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,Nereis pelagica,Nereis pelagica,species,130404,Nereis pelagica,130404
Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,Hediste diversicolor,Hediste diversicolor,species,152302,Hediste diversicolor,152302
Annelida,Polychaeta,Phyllodocida,Nereididae,Neanthes,Neanthes nubila,Neanthes nubila,species,334102,Neanthes nubila,334102
Annelida,Polychaeta,Phyllodocida,Nereididae,NA,NA,Nereididae,family,22496,Nereididae,22496
Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,Harmothoe imbricata,Harmothoe imbricata,species,130769,Harmothoe imbricata,130769
Annelida,Polychaeta,Phyllodocida,Aphroditidae,Aphrodita,Aphrodita aculeata,Aphrodita aculeata,species,129840,Aphrodita aculeata,129840
Annelida,Polychaeta,Phyllodocida,Arenicolidae,Arenicola,NA,Arenicola,genus,129206,Arenicola,129206
Annelida,Polychaeta,Terebellida,Ampharetidae,NA,NA,Ampharetidae,family,981,Ampharetidae,981
Annelida,Polychaeta,NA,NA,NA,NA,Polychaeta,class,883,Polychaeta,883
Annelida,Clitellata,Haplotaxida,Naididae,Nais,Nais elinguis,Nais elinguis,species,137481,Nais elinguis,137481
Annelida,NA,NA,NA,NA,NA,Annelida,phylum,882,Annelida,882
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias rubens,Asterias rubens,species,123776,Asterias rubens,123776
Echinodermata,Echinoidea,NA,NA,NA,NA,Echinoidea,class,123082,Echinoidea,123082
Echinodermata,NA,NA,NA,NA,NA,Echinodermata,phylum,1806,Echinodermata,1806
Cnidaria,Hydrozoa,Anthoathecata,Porpitidae,Velella,Velella velella,Velella velella,species,117832,Velella velella,117832
Cnidaria,NA,NA,NA,NA,NA,Cnidaria,phylum,1267,Cnidaria,1267
