phylum,class,order,family,genus,species,base_name,base_rank,aphiaID,valid_name,valid_aphiaID,role
Chordata,Actinopterygii,Gadiformes,Merlucciidae,NA,NA,Merlucciidae,family,125473,Merlucciidae,125473,prey
Chordata,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,Mallotus villosus,species,126735,Mallotus villosus,126735,prey
Chordata,Actinopterygii,Osmeriformes,Argentinidae,Argentina,Argentina sphyraena,Argentina sphyraena,species,126716,Argentina sphyraena,126716,prey
Chordata,Actinopterygii,Osmeriformes,Argentinidae,NA,NA,Argentinidae,family,125508,Argentinidae,125508,prey
Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,species,126417,Clupea harengus,126417,prey
Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sprattus,Sprattus sprattus,Sprattus sprattus,species,126425,Sprattus sprattus,126425,prey
Chordata,Actinopterygii,Clupeiformes,Clupeidae,NA,NA,Clupeidae,family,125464,Clupeidae,125464,prey
Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,species,126426,Engraulis encrasicolus,126426,prey
Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus scorpius,Myoxocephalus scorpius,species,127203,Myoxocephalus scorpius,127203,prey
Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Taurulus,Taurulus bubalis,Taurulus bubalis,species,127204,Taurulus bubalis,127204,prey
Chordata,Actinopterygii,Scorpaeniformes,Cottidae,NA,NA,Cottidae,family,125589,Cottidae,125589,prey
Chordata,Actinopterygii,Scorpaeniformes,Cyclopteridae,Cyclopterus,Cyclopterus lumpus,Cyclopterus lumpus,species,127214,Cyclopterus lumpus,127214,prey
Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Leptagonus,Leptagonus decagonus,Leptagonus decagonus,species,127191,Leptagonus decagonus,127191,prey
Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Agonus,Agonus cataphractus,Agonus cataphractus,species,127190,Agonus cataphractus,127190,prey
Chordata,Actinopterygii,Scorpaeniformes,Agonidae,NA,NA,Agonidae,family,125588,Agonidae,125588,prey
Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,Liparis liparis,Liparis liparis,species,127219,Liparis liparis liparis,293624,prey
Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes fasciatus,Sebastes fasciatus,species,127252,Sebastes fasciatus,127252,prey
Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes marinus,Sebastes marinus,species,127253,Sebastes norvegicus,151324,prey
Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes viviparus,Sebastes viviparus,species,127255,Sebastes viviparus,127255,prey
Chordata,Actinopterygii,Scorpaeniformes,Neosebastidae,NA,NA,Neosebastidae,family,154248,Neosebastidae,154248,prey
Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Eutrigla,Eutrigla gurnardus,Eutrigla gurnardus,species,150637,Eutrigla gurnardus,150637,prey
Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Chelidonichthys,Chelidonichthys cuculus,Chelidonichthys cuculus,species,127259,Chelidonichthys cuculus,127259,prey
Chordata,Actinopterygii,Scorpaeniformes,Triglidae,NA,NA,Triglidae,family,125598,Triglidae,125598,prey
Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Entelurus,Entelurus aequoreus,Entelurus aequoreus,species,127379,Entelurus aequoreus,127379,prey
Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus rostellatus,Syngnathus rostellatus,species,127389,Syngnathus rostellatus,127389,prey
Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus acus,Syngnathus acus,species,127387,Syngnathus acus,127387,prey
Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Nerophis,Nerophis lumbriciformis,Nerophis lumbriciformis,species,127383,Nerophis lumbriciformis,127383,prey
Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,NA,NA,Syngnathidae,family,125606,Syngnathidae,125606,prey
Chordata,Actinopterygii,Syngnathiformes,NA,NA,NA,Syngnathiformes,order,10327,Syngnathiformes,10327,prey
Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus,Maurolicus muelleri,Maurolicus muelleri,species,127312,Maurolicus muelleri,127312,prey
Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,Gasterosteus aculeatus,species,126505,Gasterosteus aculeatus,126505,prey
Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Spinachia,Spinachia spinachia,Spinachia spinachia,species,126508,Spinachia spinachia,126508,prey
Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,NA,NA,Gasterosteidae,family,125476,Gasterosteidae,125476,prey
Chordata,Actinopterygii,Myctophiformes,Myctophidae,Benthosema,Benthosema glaciale,Benthosema glaciale,species,126580,Benthosema glaciale,126580,prey
Chordata,Actinopterygii,Beloniformes,Scomberescoidae,Scomberesox,Scomberesox saurus,Scomberesox saurus,species,126392,Scomberesox saurus saurus,236461,prey
Chordata,Actinopterygii,Beloniformes,Belonidae,Belone,Belone belone,Belone belone,species,126375,Belone belone,126375,prey
Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo salar,Salmo salar,species,127186,Salmo salar,127186,prey
Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,NA,Coregonus,genus,126139,Coregonus,126139,prey
Chordata,Actinopterygii,Salmoniformes,Salmonidae,NA,NA,Salmonidae,family,125587,Salmonidae,125587,prey
Chordata,Actinopterygii,Atheriniformes,Atherinidae,Atherina,Atherina presbyter,Atherina presbyter,species,272030,Atherina presbyter,272030,prey
Chordata,Actinopterygii,Stephanoberyciformes,Melamphaidae,Scopelogadus,Scopelogadus beanii,Scopelogadus beanii,species,127278,Scopelogadus beanii,127278,prey
Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,Anguilla anguilla,species,126281,Anguilla anguilla,126281,prey
Chordata,Actinopterygii,NA,NA,NA,NA,Actinopterygii,class,10194,Actinopterygii,10194,prey
Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Raja,NA,Raja,genus,105766,Raja,105766,prey
Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,Squalus acanthias,species,105923,Squalus acanthias,105923,prey
Chordata,Mammalia,NA,NA,NA,NA,Mammalia,class,1837,Mammalia,1837,prey
Chordata,NA,NA,NA,NA,NA,Chordata,phylum,1821,Chordata,1821,prey
Arthropoda,Malacostraca,Amphipoda,Calliopiidae,Apherusa,Apherusa glacialis,Apherusa glacialis,species,102166,Apherusa glacialis,102166,prey
Arthropoda,Malacostraca,Amphipoda,Gammarellidae,Gammarellus,Gammarellus homari,Gammarellus homari,species,102253,Gammarellus homari,102253,prey
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus wilkitzkii,Gammarus wilkitzkii,species,102297,Gammarus wilkitzkii,102297,prey
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus setosus,Gammarus setosus,species,102293,Gammarus setosus,102293,prey
Arthropoda,Malacostraca,Amphipoda,Lysianassidae,Hippomedon,Hippomedon denticulatus,Hippomedon denticulatus,species,102570,Hippomedon denticulatus,102570,prey
Arthropoda,Malacostraca,Amphipoda,Gammaracanthidae,Gammaracanthus,Gammaracanthus caspius,Gammaracanthus caspius,species,489919,Gammaracanthus caspius,489919,prey
Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,Themisto libellula,Themisto libellula,species,156452,Themisto libellula,156452,prey
Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,Themisto abyssorum,Themisto abyssorum,species,103259,Themisto abyssorum,103259,prey
Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,Hyperia medusarum,Hyperia medusarum,species,103253,Hyperia medusarum,103253,prey
Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,Hyperia spinigera,Hyperia spinigera,species,103254,Hyperia spinigera,103254,prey
Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,Hyperia galba,Hyperia galba,species,103251,Hyperia galba,103251,prey
Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperoche,Hyperoche medusarum,Hyperoche medusarum,species,103256,Hyperoche medusarum,103256,prey
Arthropoda,Malacostraca,Amphipoda,Lysianassidae,NA,NA,Lysianassidae,family,101395,Lysianassidae,101395,prey
Arthropoda,Malacostraca,Amphipoda,Uristidae,Onisimus,Onisimus glacialis,Onisimus glacialis,species,102644,Onisimus glacialis,102644,prey
Arthropoda,Malacostraca,Amphipoda,Uristidae,Onisimus,Onisimus nanseni,Onisimus nanseni,species,102647,Onisimus nanseni,102647,prey
Arthropoda,Malacostraca,Amphipoda,Uristidae,Onisimus,Onisimus litoralis,Onisimus litoralis,species,102646,Onisimus litoralis,102646,prey
Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Ischyrocerus,Ischyrocerus anguipes,Ischyrocerus anguipes,species,102412,Ischyrocerus anguipes,102412,prey
Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Paroediceros,Paroediceros lynceus,Paroediceros lynceus,species,102911,Paroediceros lynceus,102911,prey
Arthropoda,Malacostraca,Amphipoda,Eusiridae,Eusirus,NA,Eusirus,genus,101519,Eusirus,101519,prey
Arthropoda,Malacostraca,Amphipoda,Talitridae,Orchestia,Orchestia gammarellus,Orchestia gammarellus,species,103202,Orchestia gammarellus,103202,prey
Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Megannyctiphares,Meganyctiphanes norvegica,Meganyctiphanes norvegica,species,110690,Meganyctiphanes norvegica,110690,prey
Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,Thysanoessa inermis,Thysanoessa inermis,species,110708,Thysanoessa inermis,110708,prey
