reference,ref_n,ref_ids
"Lumsden & Haddow 1946 Journal of Animal Ecology 15,35-42",1,REF045
Martin 1989 Bird Study 36: 170-187,1,REF046
"Martin 1989 Bird Study 36:3, 170-180",1,REF046
Miles et al 2015 PLoSONE 10: e0131527,1,REF047
"Mills 1969 Scottish Birds 5,264-268",1,REF048
"Newell et al 2016 JNCC Report, No. 475k",1,REF059
"Ojowski et al 2001 Mar Biol 139,1193-2000",1,REF060
"Pearson 1698 Journal of Animal Ecology 37,521-552",1,REF061
"Pearson 1968 J Anim Ecol 37, 521-552",1,REF061
Pearson 1968 J Anim Ecol 37: 521-552,1,REF061
"Pearson 1968 Journal of Animal Ecology 37, 521–552.",1,REF061
Riordan & Birkhead 2017 Ibis,1,REF064
"Robertson et al 2014 Marine Biology, 161, 1973–1986",1,REF065
"Shaw et al 2002 JNCC Report, No. 332",1,REF066
"Snow 1960 Ibis 102,554.575",1,REF067
"Stauss et al 2012 Marine Ecology - Progress Series 457, 151-162",1,REF068
"Stauss et al 2012 Marine Ecology - Progress Series 457, 151-163",1,REF068
"Stauss et al 2012 Marine Ecology - Progress Series 457, 151-164",1,REF068
"Stauss et al 2012 Marine Ecology - Progress Series 457, 151-165",1,REF068
"Stauss et al 2012 Marine Ecology - Progress Series 457, 151-166",1,REF068
"Stauss et al 2012 Marine Ecology - Progress Series 457, 151-167",1,REF068
"Stevens 1933 J Mar Biol Assoc UK 19,277-292",1,REF069
"Swann 1998 JNCC Report, No. 286.",1,REF070
Swann 2004 http://jncc.defra.gov.uk/pdf/474a_Canna_2004_web.pdf,1,REF073
"Swann 2013  JNCC Report, No. 474g",1,REF074
"Swann 2013  JNCC Report, No. 474h",1,REF075
"Swann 2013 JNCC Report, No. 474e",1,REF077
"Swann 2013 JNCC Report, No. 474f",1,REF078
"Swann et al 2008 Seabird 21, 44-54",1,REF079
"Swann et al 2008 Seabird 21, 44–54",1,REF079
"Swann et al 2008 Seabirds 21,44-54",1,REF079
"Swann et al 2008 Seabird 21, 44–54, Swann 2000 JNCC Report, No. 304",2,REF079; REF071
"Swann et al 2008 Seabird 21, 44–54, Swann 2004 JNCC Report, No.361",2,REF079; REF072
"Swann et al 2008 Seabird 21, 44–54, Swann 2013 JNCC Report, No. 474d",2,REF079; REF076
"Swann et al 2016 JNCC Report, No. 474i",1,REF080
"Swann et al 2016 JNCC Report, No. 474ij",1,REF081
"Swann et al 2016 JNCC Report, No. 474k",1,REF082
"Swann et al 2016 JNCC Report, No. 474l",1,REF083
"Thaxter et al 2009 J Avain Biol 40, 75-84",1,REF084
"Thompson et al 1995 MEPS 125,3-11",1,REF085
"Thompson, K. 1987. THE ECOLOGY OF THE MANX SHEARWATER PUFFINUS PJJFFINUSON RHUM, WEST SCOTLAND. Unpubl. Thesis University of Glasgow",1,REF086
"Votier et al 2010 J Appl Ecol 47, 487-497",1,REF087
"Votier et al 2010 J Appl Ecol 47, 487-498",1,REF087
"Votier et al 2010 J Appl Ecol 47, 487-499",1,REF087
"Votier et al 2010 J Appl Ecol 47, 487-500",1,REF087
"Wagner 1987 Seabird 19,58-59",1,REF088
"Wakefield et al 2015 Ecology 96, 3058-3074",1,REF089
"Wakefield et al 2015 Ecology 96, 3058-3075",1,REF089
"Wakefield et al 2015 Ecology 96, 3058-3076",1,REF089
"Wakefield et al 2015 Ecology 96, 3058-3077",1,REF089
"Wakefield et al 2015 Ecology 96, 3058-3078",1,REF089
"Wakefield et al 2015 Ecology 96, 3058-3079",1,REF089
"Wakefield et al 2015 Ecology 96, 3058-3080",1,REF089
"Wakefield et al 2015 Ecology 96, 3058-3081",1,REF089
"Wakefield et al 2015 Ecology 96, 3058-3082",1,REF089
"Wakefield et al 2015 Ecology 96, 3058-3083",1,REF089
"Wanless 1984 Seabird 7,62-70",1,REF091
"Wanless et al 2005 MEPS 294, 1-8",1,REF092
"Wilson et al 2005 Ardea 92, 197-207",1,REF095
"Wright & Bailey (n.d.) Marine Laboratory Aberdeen Fisheries Research Report, 15/93.",1,REF097
"Anderson et al 2014 Ibis 156, 23?34",1,REF001
"Anderson et al 2014 Ibis 156, 23?39",1,REF001
"Anderson et al 2014 Ibis 156, 23?40",1,REF001
"Anderson et al 2014 Ibis 156, 23?41",1,REF001
"Anderson et al 2014 Ibis 156, 23?42",1,REF001
"Bailey et al 1991 ICES Mar. Sci. Symp., 193, 209?216.",1,REF002
"Bailey et al 1991 ICES Mar. Sci. Symp., 193, 209?216; Furness 1990 Ibis 132, 205?217",2,REF002; REF021
"Baker et 1999 JNCC Report 289, 1?51",1,REF003
"Blake BF 1984 J. Exp. Mar.Biol. Ecol. 76, 89-103",1,REF004
"Blake 1984 J Exp Mar Biol Ecol 76,89-103",1,REF004
"Blake et al 1955 Estuarine, Coastal & Shelf Science 20, 559-568",1,REF005
Blake et al 1980 Unpubl NCC Report,1,REF006
"Blake et al 1985 Estuarine, Coastal & Shelf Science 20, 559-568",1,REF007
"Blake et al 1995 Estuarine, Coastal & Shelf Science 20, 559-568",1,REF007
"Bull et al 2004 Ardea 92, 43?52",1,REF010
"Bull et al 2004 Ardea 92, 43?52 & Bull  et al 2001 JNCC Report, No. 303, Daunt & Wanless IMLOT 1973-2014",3,REF010; REF008; REF016
Camphuysen & van Franeker 1996 Sula 10: 143-150,1,REF011
"Chivers 2012 Bird Study 59, 363?367",1,REF012
"Chivers et al 2012 Bird Study 39, 67-73",1,REF013
"Corkhill 1973 Bird Study 20,207-220",1,REF014
"Coulson 1985 Journal of Animal Ecology 54, 9?26",1,REF015
Daunt & Wanless IMLOT 1973-2014,1,REF016
Daunt & Wanless IMLOT 1973-2015,1,REF016
Daunt & Wanless IMLOT 1973-2016,1,REF016
Daunt & Wanless IMLOT 1973-2017,1,REF016
Daunt & Wanless IMLOT 1973-2018,1,REF016
Daunt & Wanless IMLOT 1973-2019,1,REF016
Daunt & Wanless IMLOT 1973-2020,1,REF016
Daunt & Wanless IMLOT 1973-2021,1,REF016
Daunt & Wanless IMLOT 1973-2022,1,REF016
Daunt & Wanless IMLOT 1973-2023,1,REF016
Daunt & Wanless IMLOT 1973-2024,1,REF016
Daunt & Wanless IMLOT 1973-2025,1,REF016
Daunt & Wanless IMLOT 1973-2026,1,REF016
Daunt & Wanless IMLOT 1973-2027,1,REF016
Daunt & Wanless IMLOT 1973-2028,1,REF016
Daunt & Wanless IMLOT 1973-2029,1,REF016
Daunt & Wanless IMLOT 1973-2030,1,REF016
Daunt & Wanless IMLOT 1973-2031,1,REF016
Daunt & Wanless IMLOT 1973-2032,1,REF016
Daunt & Wanless IMLOT 1973-2033,1,REF016
Daunt & Wanless IMLOT 1973-2034,1,REF016
Daunt & Wanless IMLOT 1973-2035,1,REF016
Daunt & Wanless IMLOT 1973-2036,1,REF016
Daunt & Wanless IMLOT 1973-2037,1,REF016
Daunt & Wanless IMLOT 1973-2038,1,REF016
Daunt & Wanless IMLOT 1973-2039,1,REF016
Daunt & Wanless IMLOT 1973-2040,1,REF016
Daunt & Wanless IMLOT 1973-2041,1,REF016
Daunt & Wanless IMLOT 1973-2042,1,REF016
Daunt & Wanless IMLOT 1973-2043,1,REF016
Daunt & Wanless IMLOT 1973-2044,1,REF016
Daunt & Wanless IMLOT 1973-2045,1,REF016
Daunt & Wanless IMLOT 1973-2046,1,REF016
Daunt & Wanless IMLOT 1973-2047,1,REF016
